original_name,mapped_name
los angeles times communications and the san diego union-tribune,"Los Angeles Times Communications LLC & The San Diego Union-Tribune, LLC"
louis d. brandeis ctr,Louis D. Brandeis Center for Human Rights Under Law
louis d. brandeis ctr for human rights under law,Louis D. Brandeis Center for Human Rights Under Law
doctors without borders/medecins sans frontieres,Médecins Sans Frontières / Doctors Without Borders
médecins sans frontières / doctors without borders,Médecins Sans Frontières / Doctors Without Borders
maine women’s lobby,Maine Women’s Lobby
maine women’s lobby education fund,Maine Women’s Lobby
making every vote count,Making Every Vote Count Foundation
making every vote count fdn,Making Every Vote Count Foundation
manhattan inst,Manhattan Institute
manhattan inst for policy research,Manhattan Institute
march for life,March for Life Education and Defense Fund
march for life education and defense fund,March for Life Education and Defense Fund
march for our lives,March For Our Lives Action Fund
march for our lives action fund,March For Our Lives Action Fund
massachusetts chapter of the natl academy of elder law attorneys,Massachusetts Chapter of the National Academy of Elder Law Attorneys
natl academy of elder law attorneys,Massachusetts Chapter of the National Academy of Elder Law Attorneys
mastercard,Mastercard Inc.
mastercard intl incorporated,Mastercard Inc.
materna,Materna Medical
materna medical,Materna Medical
members of michigan fair elections inst,Members of Michigan Fair Elections Institute
michigan fair elections,Members of Michigan Fair Elections Institute
mental health america,Mental Health America
mental health america of greater dallas,Mental Health America
global justice inst metropolitan community churches,"Metropolitan Community Churches, Global Justice Institute"
metropolitan community churches global justice inst,"Metropolitan Community Churches, Global Justice Institute"
microsoft,Microsoft Corporation
microsoft corporation,Microsoft Corporation
minnesota indian women sexual assault coalition,Minnesota Indian Women Sexual Assault Coalition
minnesota indian womens sexual assault coalition,Minnesota Indian Women Sexual Assault Coalition
miramar labs,MiramarLabs
miramarlabs,MiramarLabs
missouri asian american youth fdn,Missouri Asian American Youth Foundation
missouri asian american youth fed,Missouri Asian American Youth Foundation
montana innocence project,Montana Innocence Project
mt innocence project,Montana Innocence Project
fdn for natl progress dba mother jones,Mother Jones
mother jones,Mother Jones
mountain state justice,Mountain State Justice
mountain state justice (west virginia),Mountain State Justice
mozilla,Mozilla Corporation
mozilla corporation,Mozilla Corporation
mylan pharmaceutical industry co.,Mylan Pharmaceutical Industry Co.
mylan pharmaceuticals,Mylan Pharmaceutical Industry Co.
louisiana state conference of the naacp,NAACP
naacp,NAACP
naacp legal defense and education fund,NAACP
naacp louisiana state conference,NAACP
naral pro-choice america,NARAL Pro-Choice America
naral pro-choice north carolina,NARAL Pro-Choice America
naral pro-choice oregon,NARAL Pro-Choice America
pro-choice north carolina,NARAL Pro-Choice America
reproductive freedom for all (formerly naral pro-choice america),NARAL Pro-Choice America
reproductive freedom for all formerly naral pro-choice america,NARAL Pro-Choice America
naspa-student affairs administrators in higher education,NASPA-Student Affairs Administrators in Higher Education
student affairs administrators in higher education,NASPA-Student Affairs Administrators in Higher Education
natl action network,National Action Network
natl action network washington bureau,National Action Network
natl african american gun assn,"National African American Gun Association, Inc."
natl african american gun assoc.,"National African American Gun Association, Inc."
natl alliance on mental illness,National Alliance on Mental Illness
natl alliance on mental illness of texas,National Alliance on Mental Illness
natl assn for latino community asset builders,National Association for Latino Community Asset Builders
natl assn of latino community asset builders,National Association for Latino Community Asset Builders
natl assn for public defense,National Association for Public Defense
natl assn for public defense and restoring justice,National Association for Public Defense
natl assn for the advancement of colored people,National Association for the Advancement of Colored People
natl assn for the advancement of colored people baton rouge branch,National Association for the Advancement of Colored People
natl assn of catholic nurses u.s.a.,"National Association of Catholic Nurses, USA"
natl assn of catholic nurses usa,"National Association of Catholic Nurses, USA"
natl assn of catholic nurses-usa,"National Association of Catholic Nurses, USA"
natl assn of chapter 13 trustees,National Association of Chapter Thirteen Trustees
natl assn of chapter thirteen trustees,National Association of Chapter Thirteen Trustees
natl assn of home builders,National Association of Home Builders
natl assn of home builders of the u.s.,National Association of Home Builders
natl assn of home builders of the united states,National Association of Home Builders
natl assn of latino elected and appointed officials,National Association of Latino Elected and Appointed Officials Educational Fund
natl assn of latino elected and appointed officials educational fund,National Association of Latino Elected and Appointed Officials Educational Fund
natl assn of parents (d/b/a “parentsusa”),"National Association of Parents, Inc. d/b/a ParentsUSA"
"natl assn of parents (d/b/a ""parentsusa"")","National Association of Parents, Inc. d/b/a ParentsUSA"
natl assn of parents d/b/a parentsusa,"National Association of Parents, Inc. d/b/a ParentsUSA"
natl assn of parents dba parentsusa,"National Association of Parents, Inc. d/b/a ParentsUSA"
natl assn of social workers including its texas chapter,National Association of Social Workers Texas Chapter
natl assn of social workers texas chapter,National Association of Social Workers Texas Chapter
natl capacd-natl coalition for asian pacific american community development,National CAPACD - National Coalition for Asian Pacific American Community Development
natl coalition for asian pacific american community development,National CAPACD - National Coalition for Asian Pacific American Community Development
natl coalition for asian pacific american community development (natl capacd),National CAPACD - National Coalition for Asian Pacific American Community Development
natl ctr for lesbian rights,National Center for Lesbian Rights
natl ctr on lesbian rights,National Center for Lesbian Rights
black women’s roundtable,National Coalition on Black Civic Participation
natl coalition on black civic participation,National Coalition on Black Civic Participation
natl coalition on black civic participation-black women’s roundtable,National Coalition on Black Civic Participation
natl congress of american indians,National Congress of American Indians
natl congress of american indians fund,National Congress of American Indians
natl council of churches,National Council of Churches of Christ in the USA
natl council of churches of christ in the usa,National Council of Churches of Christ in the USA
natl council of the churches of christ in the usa,National Council of Churches of Christ in the USA
natl family violence law ctr,National Family Violence Law Center at GW Law
natl family violence law ctr at gw law,National Family Violence Law Center at GW Law
natl family violence law ctr at the george washington university law school,National Family Violence Law Center at GW Law
natl fed of independent business,National Federation of Independent Business Small Business Legal Center
natl fed of independent business small business legal ctr,National Federation of Independent Business Small Business Legal Center
natl fed of independent businesses,National Federation of Independent Business Small Business Legal Center
natl fed of independent small business legal ctr,National Federation of Independent Business Small Business Legal Center
nfib legal ctr,National Federation of Independent Business Small Business Legal Center
nfib small business legal ctr,National Federation of Independent Business Small Business Legal Center
natl fed for the blind,National Federation of the Blind
natl fed of the blind,National Federation of the Blind
natl fed of the blind-california,National Federation of the Blind
natl fed of the blind-florida,National Federation of the Blind
natl fed of the blind-massachusetts,National Federation of the Blind
natl fed of the blind-missouri,National Federation of the Blind
natl fed of the blind-washington,National Federation of the Blind
natl health law program,National Health Law Program
natl health law project,National Health Law Program
natl heath law program,National Health Law Program
heartland alliance’s natl immigrant justice ctr,National Immigrant Justice Center
natl immigrant justice ctr,National Immigrant Justice Center
natl immigration project,National Immigration Project of the National Lawyers Guild
natl immigration project of the natl lawyers guild,National Immigration Project of the National Lawyers Guild
natl lgbt bar assn,National LGBT Bar Association
natl lgbtbar assn and fdn,National LGBT Bar Association
natl org for the reform of marijuana laws,National Organization for the Reform of Marijuana Laws
new york state affiliate of the natl org for the reform of marijuana laws,National Organization for the Reform of Marijuana Laws
natl org for women (now) fdn,National Organization for Women Foundation
natl org for women fdn,National Organization for Women Foundation
natl org of social security claimants representatives,National Organization of Social Security Claimants Representatives
natl org of social security claimants’ representatives,National Organization of Social Security Claimants Representatives
natl taxpayers union,National Taxpayers Union Foundation
natl taxpayers union fdn,National Taxpayers Union Foundation
natl trust for historic preservation,National Trust for Historic Preservation
natl trust for historic preservation in the united states,National Trust for Historic Preservation
natl women’s law ctr,National Women’s Law Center
natl womens law ctr,National Women’s Law Center
natl women’s soccer league players assn,National Women’s Soccer League Players Association
players assn of the natl women’s soccer league,National Women’s Soccer League Players Association
native women’s soc,Native Women’s Society of the Great Plains
native women’s soc of the great plains,Native Women’s Society of the Great Plains
nebraska appleseed,Nebraska Appleseed Center for Law in the Public Interest
nebraska appleseed ctr for law in the public interest,Nebraska Appleseed Center for Law in the Public Interest
neighborhood defender service (new york),Neighborhood Defender Service of Harlem
neighborhood defender service of harlem,Neighborhood Defender Service of Harlem
new york county defender service,New York County Defender Services
new york county defender services,New York County Defender Services
news media alliance,News Media Alliance
news/media alliance,News Media Alliance
n.c. chamber legal inst,North Carolina Chamber Legal Institute
north carolina chamber legal inst,North Carolina Chamber Legal Institute
nc family policy council,North Carolina Family Policy Council
north carolina family policy council,North Carolina Family Policy Council
north carolina values coalition,North Carolina Values Coalition
north carolina values inst,North Carolina Values Coalition
oca-asian pacific american advocates,OCA – Asian Pacific American Advocates
org of chinese americans (oca)-asian pacific american advocates,OCA – Asian Pacific American Advocates
org of chinese americans (oca)-asian pacific american advocates-new york,OCA – Asian Pacific American Advocates
oca south florida chapter,OCA South Florida Chapter
org of chinese americans (oca) south florida chapter,OCA South Florida Chapter
oklahoma criminal defense lawyer’s assn,Oklahoma Criminal Defense Lawyers Association
oklahoma criminal defense lawyers assn,Oklahoma Criminal Defense Lawyers Association
farmers educational and cooperative union of america,"Oklahoma State Union of the Farmers Educational and Co-Operative Union of America, Inc."
oklahoma state union of the farmers educational and co-operative union of america,"Oklahoma State Union of the Farmers Educational and Co-Operative Union of America, Inc."
onejustice,OneJustice
onejustice (california),OneJustice
onevirginia2021,OneVirginia2021: Virginians for Fair Redistricting
onevirginia2021: virginians for fair redistricting,OneVirginia2021: Virginians for Fair Redistricting
operation blazing sword,Operation Blazing Sword-Pink Pistols
operation blazing sword-pink pistols,Operation Blazing Sword-Pink Pistols
pink pistols,Operation Blazing Sword-Pink Pistols
2556 operation outcry women injured by abortion,Operation Outcry Women Injured by Abortion
operation outcry,Operation Outcry Women Injured by Abortion
operation outcry women injured by abortion,Operation Outcry Women Injured by Abortion
women injured by abortion,Operation Outcry Women Injured by Abortion
oracle,Oracle
oracle america,Oracle
oregon farm bureau,Oregon Farm Bureau
state farm bureau org of oregon,Oregon Farm Bureau
american historians,Organization of American Historians
org of american historians,Organization of American Historians
original ventures,Original Ventures
original ventures llcs,Original Ventures
(new) orleans public defenders,Orleans Public Defenders
orleans public defenders,Orleans Public Defenders
palmetto family (south carolina),Palmetto Family Council
palmetto family council,Palmetto Family Council
palmetto promise,Palmetto Promise Institute
palmetto promise inst,Palmetto Promise Institute
pascua yaqui tribe,Pascua Yaqui Tribe
pascua yaqui tribe of arizona,Pascua Yaqui Tribe
paypal,"PayPal, Inc."
paypal holdings,"PayPal, Inc."
people for the american way,People For the American Way Foundation
people for the american way fdn,People For the American Way Foundation
pflag,PFLAG
pflag natl,PFLAG
pharmaceutical research and manufacturers of america,Pharmaceutical Research and Manufacturers of America
pharmaceutical research and manufacturers of america (phrma),Pharmaceutical Research and Manufacturers of America
planned parenthood action fund,Planned Parenthood Federation of America
planned parenthood ctr for choice,Planned Parenthood Federation of America
planned parenthood fed of america,Planned Parenthood Federation of America
players assn of the women’s natl basketball assn,Players Associations of the Women’s National Basketball Association
women’s natl basketball players assn,Players Associations of the Women’s National Basketball Association
population connection,Population Connection Action Fund
population connection action fund,Population Connection Action Fund
positive women’s network-usa,Positive Women’s Network-USA
positive womens network-usa (pwn-usa),Positive Women’s Network-USA
power2parent union,Power2Parents
power2parents,Power2Parents
presbyterians affirming reproductive choice,Presbyterians Affirming Reproductive Options
presbyterians affirming reproductive options,Presbyterians Affirming Reproductive Options
presente,Presente.org
presente.org,Presente.org
president of the house of deputies of the episcopal church,President of the House of Deputies of the Episcopal Church
presiding bishop and president of the house of deputies of the episcopal church,President of the House of Deputies of the Episcopal Church
presiding bishop of the episcopal church,President of the House of Deputies of the Episcopal Church
product liability advisory council,"Product Liability Advisory Council, Inc."
product liability advisory counsel,"Product Liability Advisory Council, Inc."
project 21,Project 21 Black Leadership Network
project 21 black leadership network,Project 21 Black Leadership Network
project21 black leadership network,Project 21 Black Leadership Network
constitution project,Project on Government Oversight
constitution project at the project on government oversight,Project on Government Oversight
project on government oversight,Project on Government Oversight
project south,"Project South, Atlanta, Georgia"
project south atlanta georgia,"Project South, Atlanta, Georgia"
protect democracy,Protect Democracy Project
protect democracy project,Protect Democracy Project
public advocate,Public Advocate of the United States
public advocate fdn,Public Advocate of the United States
public advocate of the u.s.,Public Advocate of the United States
public advocate of the united states,Public Advocate of the United States
public counsel,Public Counsel
public counsel (california),Public Counsel
qualcomm,"Qualcomm, Inc."
qualcomm incorporated,"Qualcomm, Inc."
representus,RepresentUs
representus of new jersey,RepresentUs
reproaction,Reproaction
reproaction education fund,Reproaction
reserve officers assn d/b/a reserve org of america,Reserve Organization of America
reserve org of america,Reserve Organization of America
ctr for investigative reporting (d/b/a reveal),Reveal from The Center for Investigative Reporting
reveal from the ctr for investigative reporting,Reveal from The Center for Investigative Reporting
homeless advocacy project,Rhode Island Homeless Advocacy Project
rhode island homeless advocacy project,Rhode Island Homeless Advocacy Project
rincon band of luiseño indians,Rincon Band of Luiseño Indians
rincon band of luiseno indians,Rincon Band of Luiseño Indians
rising voices,Rising Voices
rising voices a project of tides advocacy,Rising Voices
roughrider inst,Roughrider Policy Center
roughrider policy ctr,Roughrider Policy Center
sage,SAGE NYC
sage nyc,SAGE NYC
salesforce,"Salesforce.com, Inc."
salesforce.com,"Salesforce.com, Inc."
samsung,"Samsung Electronics Co., Ltd."
samsung electronics co.,"Samsung Electronics Co., Ltd."
san diego county gun owners,San Diego County Gun Owners
san diego county gun owners political action comm,San Diego County Gun Owners
save the children,Save the Children Action Network
save the children action network,Save the Children Action Network
baylor scott and white health,Scott & White Health Plan
scott and white health plan,Scott & White Health Plan
asset management grp of the securities industry and financial markets assn,Securities Industry and Financial Markets Association
securities and financial markets assn,Securities Industry and Financial Markets Association
securities industry and financial markets assn,Securities Industry and Financial Markets Association
self-help,Self-Help Credit Union
self-help credit union,Self-Help Credit Union
self-help federal credit union,Self-Help Credit Union
service employees intl union,Service Employees International Union
service employees intl union 32bj,Service Employees International Union
sage: advocacy and services for lgbt elders,Services and Advocacy for GLBT Elders (SAGE)
services and advocacy for glbt elders,Services and Advocacy for GLBT Elders (SAGE)
intl assn of sheet metal air rail and transportation workers,"Sheet Metal, Air, Rail Transportation Workers-Transportation Division"
sheet metal air rail transportation workers-transportation div,"Sheet Metal, Air, Rail Transportation Workers-Transportation Division"
saint luke’s health system,St. Luke’s Health System
st. luke’s health system,St. Luke’s Health System
stand for georgia values,Stand for Georgia Values Action
stand for georgia values action,Stand for Georgia Values Action
oklahoma state chamber research fdn,State Chamber of Oklahoma
state chamber of oklahoma,State Chamber of Oklahoma
colorado farm bureau,State Farm Bureau Organizations of Colorado
state farm bureau org of colorado,State Farm Bureau Organizations of Colorado
state innovation exchange,State Innovation Exchange (SiX)
state innovation exchange (six),State Innovation Exchange (SiX)
stockbridge munsee community,Stockbridge Munsee Community
stockbridge-munsee band of mohicans indians,Stockbridge Munsee Community
stop abusive and violent environments,Stop Abusive and Violent Environments
"stop abusive and violent environments (""save"")",Stop Abusive and Violent Environments
streamline grp/mh global,Streamline Group/MH Global
streamline vape/mh global,Streamline Group/MH Global
students for life action,Students for Life of America
students for life in america,Students for Life of America
students for life of america,Students for Life of America
sun life,Sun Life
sun life u.s.,Sun Life
susan b. anthony list,Susan B. Anthony List
susan b. anthony pro-life america,Susan B. Anthony List
t’ruah: the rabbinic call for human rights,T’ruah: The Rabbinic Call for Human Rights
t’ruah: the rabbinical call for human rights,T’ruah: The Rabbinic Call for Human Rights
taxpayers against fraud,Taxpayers Against Fraud Education Fund
taxpayers against fraud education fund,Taxpayers Against Fraud Education Fund
texas equal access fund,Texas Equal Access Fund (TEA Fund)
texas equal access fund (tea fund),Texas Equal Access Fund (TEA Fund)
texas riogrande legal aid,Texas RioGrande Legal Aid - Public Defender Division
texas riogrande legal aid-public defender div,Texas RioGrande Legal Aid - Public Defender Division
advocates for human rights,The Advocates for Human Rights
human rights advocates,The Advocates for Human Rights
anglican church in north america,The Anglican Church in North America
diocese of the mid-atlantic of the anglican church in north america,The Anglican Church in North America
assn of the bar of the city of new york,The Association of the Bar of the City of New York
new york city bar assn,The Association of the Bar of the City of New York
bronx defenders,The Bronx Defenders
bronx defenders union,The Bronx Defenders
buckeye inst,The Buckeye Institute
buckeye inst for public policy solutions,The Buckeye Institute
catholic health assn,The Catholic Health Association of the United States
catholic health assn of texas,The Catholic Health Association of the United States
catholic health assn of the united states,The Catholic Health Association of the United States
dc project,The DC Project Foundation
dc project fdn,The DC Project Foundation
equal protection project,The Equal Protection Project
equal protection project of the legal insurrection fdn,The Equal Protection Project
legal insurrection fdn,The Equal Protection Project
exoneration project,"The Exoneration Project, Chicago, Illinois"
exoneration project chicago illinois,"The Exoneration Project, Chicago, Illinois"
family fdn (tff) of virginia,The Family Foundation (Virginia)
family fdn (virginia),The Family Foundation (Virginia)
family fdn of virginia,The Family Foundation (Virginia)
family leader,The Family Leader (Iowa)
family leader (iowa),The Family Leader (Iowa)
assn for government accountability,The Foundation for Government Accountability
fdn for government accountability,The Foundation for Government Accountability
foundry,The Foundry
foundry publishing,The Foundry
holocaust education ctr in the desert,"The Holocaust Education Center in the Desert, Inc."
holocaust education ctr in the desert d/b/a tolerance education ctr,"The Holocaust Education Center in the Desert, Inc."
fdn jerome lejeune,The Jerome Lejeune Foundation
jerome lejeune fdn,The Jerome Lejeune Foundation
armed forces and chaplaincy for the anglican church in north america,The Jurisdiction of the Armed Forces and Chaplaincy of the Anglican Church in North America
jurisdiction of the armed forces and chaplaincy of the anglican church in north america,The Jurisdiction of the Armed Forces and Chaplaincy of the Anglican Church in North America
leadership conference for civil and human rights,The Leadership Conference on Civil and Human Rights
leadership conference on civil and human rights,The Leadership Conference on Civil and Human Rights
atlanta legal aid soc,The Legal Aid Society
legal aid soc,The Legal Aid Society
legal aid soc (new york),The Legal Aid Society
legal aid soc of mid-new york,The Legal Aid Society
legal aid soc of the city of new york,The Legal Aid Society
lutheran church missouri synod ministry to the armed forces,The Lutheran Church–Missouri Synod
lutheran church-missouri synod,The Lutheran Church–Missouri Synod
new york city residents alliance,The New York Residents Alliance
new york residents alliance,The New York Residents Alliance
nielsen company,"The Nielsen Company (US), LLC"
nielsen company (us),"The Nielsen Company (US), LLC"
office of the ohio public defender,The Ohio Public Defender
ohio public defender,The Ohio Public Defender
professional services council,The Professional Services Council
professional services council-the voice of the government services industry,The Professional Services Council
diocese of biloxi,The Roman Catholic Diocese of Biloxi
roman catholic diocese of biloxi,The Roman Catholic Diocese of Biloxi
roman catholic diocese of biloxi mississippi,The Roman Catholic Diocese of Biloxi
diocese of jackson,The Roman Catholic Diocese of Jackson
roman catholic diocese of jackson,The Roman Catholic Diocese of Jackson
minnesota pork producers assn,The State Pork Producer Associations of Minnesota
state pork producer assn of minnesota,The State Pork Producer Associations of Minnesota
united food and commercial workers intl union,The United Food and Commercial Workers International Union
united food and commercial workers western states council,The United Food and Commercial Workers International Union
tradition family and property,"Tradition, Family, Property, Inc."
tradition family property,"Tradition, Family, Property, Inc."
tyndale house ministries,Tyndale House Publishers
tyndale house publishers,Tyndale House Publishers
tzedek assn,Tzedek DC
tzedek dc,Tzedek DC
u.s. conference of mayors,U.S. Conference of Mayors
united states conference of mayors,U.S. Conference of Mayors
u.s. constitutional rights legal def. fund,U.S. Constitutional Rights Legal Defense Fund
u.s. constitutional rights legal defense fund,U.S. Constitutional Rights Legal Defense Fund
massachusetts public interest research grp,U.S. Public Interest Research Group
pennsylvania public interest research grp,U.S. Public Interest Research Group
u.s. public interest research grp,U.S. Public Interest Research Group
u.s. public interest research grp education fund,U.S. Public Interest Research Group
ujima: natl ctr on violence against women in the black community,Ujima Inc: National Center on Violence Against Women in the Black Community
ujima: the natl ctr on violence against women in the black community,Ujima Inc: National Center on Violence Against Women in the Black Community
unitarian universalist assn,Unitarian Universalist Association
unitarian universalist church,Unitarian Universalist Association
unitarian universalist service comm,Unitarian Universalist Association
united farm workers fdn,United Farm Workers of America
united farm workers of america,United Farm Workers of America
u.s. conference of catholic bishops,United States Conference of Catholic Bishops
united states conference of catholic bishops,United States Conference of Catholic Bishops
board of regents of the university of michigan,University of Michigan
university of michigan,University of Michigan
upmc,UPMC
upmc for you,UPMC
unite for reproductive and gender equity,URGE: Unite for Reproductive & Gender Equity
urge: unite for reproductive and gender equity,URGE: Unite for Reproductive & Gender Equity
u.s. inventor,US Inventor Inc.
us inventor,US Inventor Inc.
united south and eastern tribes sovereignty protection fund,USET Sovereignty Protection Fund
uset sovereignty protection fund,USET Sovereignty Protection Fund
u.t.o.p.i.a. seattle,UTOPIA Seattle
utopia seattle,UTOPIA Seattle
verizon,Verizon Services Corp.
verizon communications,Verizon Services Corp.
verizon services,Verizon Services Corp.
vermont network against domestic and sexual violence,Vermont Network Against Domestic or Sexual Violence
vermont network against domestic or sexual violence,Vermont Network Against Domestic or Sexual Violence
veterans of foreign wars,Veterans of Foreign Wars of the United States
veterans of foreign wars of the united states,Veterans of Foreign Wars of the United States
washington assn of sheriffs and police chiefs,Washington Association of Sheriffs and Police Chiefs
washington state assn of sheriffs and police chiefs,Washington Association of Sheriffs and Police Chiefs
state farm bureau org of washington,Washington Farm Bureau
washington farm bureau,Washington Farm Bureau
washington lawyers’ comm,Washington Lawyers’ Committee for Civil Rights and Urban Affairs
washington lawyers’ comm for civil rights and urban affairs,Washington Lawyers’ Committee for Civil Rights and Urban Affairs
neo philanthropy d/b/a we testify,We Testify
we testify,We Testify
whitman-walker health,Whitman-Walker Health
whitman-walker health (legal name whitman-walker clinic) and whitman-walker inst,Whitman-Walker Health
whole woman’s health alliance,Whole Woman’s Health Alliance
whole woman’s health alliance (va mn in tx),Whole Woman’s Health Alliance
wind of spirit,Wind of the Spirit Immigrant Resource Center
wind of the spirit immigrant resource ctr,Wind of the Spirit Immigrant Resource Center
women’s liberation front,Women’s Liberation Front
womens liberation front,Women’s Liberation Front
women’s refugee commission,Women’s Refugee Commission (WRC)
womens refugee commission,Women’s Refugee Commission (WRC)
world vision,"World Vision, Inc."
world vision (u.s.),"World Vision, Inc."
wv free,"WV FREE, Advocates for Reproductive Health, Rights and Justice"
wv free advocates for reproductive health rights and justice,"WV FREE, Advocates for Reproductive Health, Rights and Justice"
young america’s fdn,Young America’s Foundation
young americas fdn,Young America’s Foundation
young conservative of texas,Young Conservatives of Texas
young conservatives of texas,Young Conservatives of Texas
