"group","ideal_point","std_error","lower_ci","upper_ci"
"ethics and religious liberty commission of the southern baptist convention",-0.624708117618892,0.0630710161421258,-0.748327309257458,-0.501088925980325
"american ctr for law and justice",-0.61923768371713,0.0933109904965947,-0.802127225090456,-0.436348142343804
"inst for faith and family",-0.606555314654305,0.0810804338198592,-0.765472964941229,-0.447637664367381
"goldwater inst",-0.602896133040937,0.100971220571075,-0.800799725360244,-0.404992540721629
"presidential coalition",-0.590393865341692,0.099018776549426,-0.784470667378567,-0.396317063304817
"competitive enterprise inst",-0.583915893661618,0.0843112800729963,-0.749166002604691,-0.418665784718546
"eagle forum",-0.577892155111246,0.104829302784569,-0.783357588569001,-0.372426721653491
"mountain states legal fdn",-0.576877195125639,0.0727592462576007,-0.719485317790536,-0.434269072460741
"retail litigation ctr",-0.562153545096545,0.101181935173326,-0.760470138036265,-0.363836952156826
"natl right to work legal defense fdn",-0.537094064591618,0.0757815002829403,-0.685625805146181,-0.388562324037055
"allied educational fdn",-0.53505335309889,0.0897534893580452,-0.710970192240659,-0.359136513957122
"policy analysis ctr",-0.533911709306273,0.0986317659743811,-0.72722997061606,-0.340593447996486
"judicial watch",-0.526309054265591,0.0881538058171024,-0.699090513667112,-0.353527594864071
"business roundtable",-0.526016668620477,0.10294617086359,-0.727791163513114,-0.32424217372784
"american tort reform assn",-0.519744140665838,0.106405512860776,-0.728298945872959,-0.311189335458717
"new england legal fdn",-0.519279412349563,0.0901839529369782,-0.69603996010604,-0.342518864593086
"gun owners of california",-0.51747186935928,0.0803794004643831,-0.675015494269471,-0.359928244449089
"public interest legal fdn",-0.502983976938036,0.0888789783982222,-0.677186774598551,-0.32878117927752
"christian family coalition (cfc) florida",-0.499435779552459,0.103731377626057,-0.702749279699531,-0.296122279405386
"restaurant law ctr",-0.49846138294819,0.0994520732324579,-0.693387446483807,-0.303535319412572
"tennessee firearms assn",-0.497405879339825,0.0850590786707464,-0.664121673534488,-0.330690085145162
"men and women for a representative democracy in america",-0.493118697800821,0.0893581621308994,-0.668260695577384,-0.317976700024258
"tradition family property",-0.492058026960172,0.082355871261017,-0.653475534631765,-0.330640519288579
"heller fdn",-0.490967571023484,0.0820089067048565,-0.651705028165003,-0.330230113881965
"natl ctr for public policy research",-0.490832842607414,0.0706196356203018,-0.629247328423206,-0.352418356791623
"america first policy inst",-0.487457765220707,0.0813615208061238,-0.64692634600071,-0.327989184440704
"american farm bureau fed",-0.482954183086105,0.0993247518531392,-0.677630696718258,-0.288277669453952
"60 plus assn",-0.477971462400483,0.103042269823234,-0.679934311254022,-0.276008613546945
"advancing american freedom",-0.47745430588714,0.101146896410608,-0.675702222851932,-0.279206388922347
"concerned women for america",-0.476343349710477,0.113527546072147,-0.698857340011885,-0.253829359409068
"comm for justice",-0.47620333953453,0.076766821445852,-0.6266663095684,-0.32574036950066
"young america’s fdn",-0.46610460164826,0.102413065589281,-0.66683421020325,-0.26537499309327
"alliance defending freedom",-0.465274074232472,0.0813473341796868,-0.624714849224658,-0.305833299240286
"natl legal fdn",-0.464934927362369,0.103651350182089,-0.668091573719263,-0.261778281005475
"senior citizens league",-0.464485890106957,0.116221998667823,-0.69228100749589,-0.236690772718023
"frontline policy council",-0.463946217673948,0.0922927069013356,-0.644839923200565,-0.28305251214733
"independence inst",-0.463027441546244,0.0813840456253761,-0.622540170971981,-0.303514712120507
"inst for justice",-0.462319739975295,0.121100884576637,-0.699677473745504,-0.224962006205085
"natl assn of evangelicals",-0.46126922622608,0.104346722954832,-0.66578880321755,-0.256749649234609
"fdn for government accountability",-0.459722272787026,0.0976913040339342,-0.651197228693537,-0.268247316880515
"christian legal soc",-0.459445517912304,0.108507337118212,-0.672119898664,-0.246771137160609
"women for democracy in america",-0.459435142720025,0.0910614552757184,-0.637915595060433,-0.280954690379617
"christian medical and dental assn",-0.45938105677962,0.0957623070145371,-0.647075178528113,-0.271686935031128
"wisconsin family action",-0.459064271620838,0.0815715473300676,-0.61894450438777,-0.299184038853905
"coalition for jewish values",-0.459027006972132,0.0707858084395949,-0.597767191513738,-0.320286822430526
"louisiana family forum",-0.458706499021506,0.0784488136803255,-0.612466173834944,-0.304946824208068
"american bankers assn",-0.457631954132544,0.0961926453875438,-0.64616953909213,-0.269094369172958
"family fdn",-0.456373423589503,0.0747711989631808,-0.602924973557338,-0.309821873621669
"pacific justice inst",-0.453709818083887,0.103865726134742,-0.657286641307982,-0.250132994859792
"minnesota family council",-0.452306514515952,0.0924304290468143,-0.633470155447708,-0.271142873584196
"illinois family inst",-0.451693312236531,0.0685515498948144,-0.586054350030367,-0.317332274442695
"product liability advisory council",-0.449674091259291,0.115919033114607,-0.676875396163921,-0.222472786354661
"independent women’s law ctr",-0.449573108796855,0.0626785044204733,-0.572422977460982,-0.326723240132727
"catholicvote.org",-0.449221345232779,0.0686296793742481,-0.583735516806306,-0.314707173659253
"americans for limited government",-0.444532279339458,0.094092557296194,-0.628953691639998,-0.260110867038918
"delaware family policy council",-0.443483578027939,0.0884478643853969,-0.616841392223317,-0.270125763832561
"project 21 black leadership network",-0.442500957221565,0.0951904219886339,-0.629074184319287,-0.255927730123842
"american constitutional rights union",-0.442493944511489,0.0876792391006695,-0.614345253148802,-0.270642635874177
"natl catholic bioethics ctr",-0.440609270119718,0.0952871262957253,-0.62737203765934,-0.253846502580097
"defense of freedom inst for policy studies",-0.440463101430313,0.0734223592927371,-0.584370925644077,-0.296555277216548
"samaritan’s purse",-0.440231529328042,0.0962997245907148,-0.628978989525843,-0.251484069130241
"intl conference of evangelical chaplain endorsers",-0.437182198961897,0.102266788022096,-0.637625103485205,-0.236739294438588
"patriotic veterans",-0.434466791837406,0.142373860802385,-0.713519559010081,-0.155414024664732
"republican natl comm",-0.433486031281555,0.105736961201782,-0.640730475237049,-0.226241587326061
"global liberty alliance",-0.433290180022937,0.0838201238815202,-0.597577622830717,-0.269002737215158
"new jersey family fdn",-0.429129331903774,0.0876550307226889,-0.600933192120244,-0.257325471687304
"mackinac ctr for public policy",-0.424098747718125,0.0944036344428224,-0.609129871226056,-0.239067624210193
"lonang inst",-0.42382186840103,0.0746507950898558,-0.570137426777147,-0.277506310024912
"fdn for moral law",-0.422943608370992,0.112961906505877,-0.644348945122512,-0.201538271619473
"ctr for equal opportunity",-0.422678996245621,0.0854986872252954,-0.5902564232072,-0.255101569284043
"life legal defense fdn",-0.422229925633,0.0719701269694809,-0.563291374493182,-0.281168476772817
"securities industry and financial markets assn",-0.421785693876266,0.115254315184711,-0.6476841516383,-0.195887236114232
"american petroleum inst",-0.420699581023482,0.104115501535051,-0.624765964032181,-0.216633198014783
"yankee inst",-0.420471677166664,0.0899026509620338,-0.596680873052251,-0.244262481281078
"dri ctr for law and public policy",-0.418240328764008,0.10555013970586,-0.625118602587492,-0.211362054940523
"american assn of pro-life obstetricians and gynecologists",-0.417812943122519,0.087998982034522,-0.590290947910182,-0.245334938334856
"lutheran church-missouri synod",-0.412648403809118,0.101452123118842,-0.611494565122048,-0.213802242496187
"orthodox jewish chamber of commerce",-0.41176450500894,0.0654984420004973,-0.540141451329915,-0.283387558687966
"ethics and public policy ctr",-0.411095936175412,0.0606805379496123,-0.530029790556652,-0.292162081794172
"virginia citizens defense league",-0.410924441708915,0.0901862301634288,-0.587689452829236,-0.234159430588595
"second amendment fdn",-0.409282483419754,0.0963925125594596,-0.598211808036295,-0.220353158803213
"roughrider policy ctr",-0.407999894003268,0.0901741664913034,-0.584741260326223,-0.231258527680313
"free speech coalition",-0.40791264102526,0.0940056057360266,-0.592163628267872,-0.223661653782648
"dri-the voice of the defense bar",-0.406899611510218,0.109261476520555,-0.621052105490505,-0.19274711752993
"setting things right",-0.405589659231704,0.101923255077625,-0.60535923918385,-0.205820079279559
"anglican church in north america",-0.405282401335346,0.0668202494632302,-0.536250090283277,-0.274314712387415
"amac action",-0.404073142581261,0.0831564173422687,-0.567059720572107,-0.241086564590414
"union of orthodox jewish congregations of america",-0.402637764254516,0.0668056906776263,-0.533576917982663,-0.271698610526368
"heartbeat intl",-0.40168206704003,0.0654250484853572,-0.52991516207133,-0.27344897200873
"downsize dc.org",-0.399271377352716,0.0903145397890106,-0.576287875339176,-0.222254879366255
"honest elections project",-0.397337797976923,0.116200842691757,-0.625091449652768,-0.169584146301079
"rio grande fdn",-0.397164020766096,0.0875251401500079,-0.568713295460111,-0.22561474607208
"charlotte lozier inst",-0.39679887102172,0.0919794774252559,-0.577078646775222,-0.216519095268219
"thomas more soc",-0.396473594556636,0.0873029076293704,-0.567587293510202,-0.22535989560307
"prolife ctr at the university of st. thomas",-0.396327235843872,0.0795411881514117,-0.552227964620639,-0.240426507067105
"hamilton lincoln law inst",-0.396227068209167,0.0800001703061005,-0.553027402009124,-0.23942673440921
"faith and freedom coalition",-0.395393418324024,0.10245370272709,-0.59620267566912,-0.194584160978928
"islam and religious freedom action team of the religious freedom inst",-0.394375488035557,0.12284274711242,-0.635147272375901,-0.153603703695213
"afa action",-0.393982857505726,0.0808033642321813,-0.552357451400801,-0.235608263610651
"natl right to life comm",-0.391968164036387,0.0874473384761522,-0.563364947449645,-0.220571380623129
"american college of pediatricians",-0.391633435586368,0.0895727886649364,-0.567196101369643,-0.216070769803092
"ctr for political renewal",-0.390710680145643,0.102123805380752,-0.590873338691917,-0.190548021599369
"congressional prayer caucus fdn",-0.3893378640701,0.0678381017712143,-0.52230054354168,-0.25637518459852
"catholic medical assn",-0.387536223043981,0.0873309481987865,-0.558704881513603,-0.216367564574359
"kansas family voice",-0.386793894561628,0.0833454605293561,-0.550150997199166,-0.22343679192409
"individual rights fdn",-0.38558484692388,0.0892503528139019,-0.560515538439128,-0.210654155408633
"firearms policy coalition",-0.385533415532798,0.105238790509512,-0.591801444931443,-0.179265386134154
"wyoming mining assn",-0.385494676767712,0.111066138815223,-0.60318430884555,-0.167805044689874
"utah mining assn",-0.385493368217285,0.110900920729538,-0.60285917284718,-0.16812756358739
"new mexico mining assn",-0.385492385162864,0.112499164391575,-0.605990747370352,-0.164994022955376
"assn of christian schools intl",-0.384909802386987,0.0760661450296333,-0.533999446645069,-0.235820158128906
"free speech defense and education fund",-0.384899255794382,0.0917624155735246,-0.56475359031849,-0.205044921270274
"inner life fund",-0.384870351386193,0.0722386860039485,-0.526458175953932,-0.243282526818454
"intl soc for krishna consciousness",-0.384310792815776,0.0829980761994869,-0.54698702216677,-0.221634563464781
