"case","year","difficulty","discrimination"
"22_1219",22,0.561623516082222,-2.49653995159896
"20_326",20,0.418136970433927,-0.995366723756993
"22_179",22,-1.27391817311168,-1.21240596313387
"24_568",24,0.40183957144116,-2.02156952211748
"23_583",23,0.343363670109221,1.27437843823486
"23_13",23,0.469781661398574,-1.3459725031527
"18_776",18,0.771182183337704,1.37531223065721
"19_168",19,0.689540809084594,-2.196142137587
"19_1078",19,0.478154145072472,-1.57228206665271
"19_847",19,0.415740943988829,-1.74962566045498
"23_1270",23,0.565852399291313,0.374727604658417
"18_1150",18,-0.795750681395863,-0.371851675515404
"20_54",20,0.376269943846522,-1.76716378427574
"19_454",19,-0.729812258939204,-5.50023344832722
"21_1326",21,-0.58984043129913,1.19350117072736
"18_302",18,-0.690675018072662,0.909874770885393
"21_241",21,0.415806535248199,-1.5300494003826
"22_1208",22,0.357911722262219,-1.38825188317561
"23_274",23,0.261460868898451,-1.58188073870535
"18_824",18,0.650787360616289,-1.38001118775954
"18_389",18,0.310795481077395,-1.37551620768961
"21_57",21,0.478328752516778,-0.487455148873085
"20_297",20,0.0803224921503257,-3.06169263058224
"23_191",23,0.736764906046943,0.512557127287151
"21_1394",21,0.627116867363684,1.74287754135451
"22_1078",22,0.341118780994427,-0.149227835914456
"20_1034",20,0.485941262566948,1.22376667149207
"21_1284",21,0.519060557196181,-1.59739678514424
"20_437",20,-0.393505842419113,-1.08125587097479
"23_51",23,-0.114536914645535,2.31628766537493
"20_138",20,-0.222703366937905,-0.350453405056765
"18_525",18,0.542599362211347,-0.63807281040574
"22_429",22,-0.345591953756781,-3.67985460551392
"20_1223",20,0.541619057353723,-1.97176530557657
"21_1195",21,0.208446380422846,-1.5856024429545
"23_935",23,0.517716299059326,-1.52058494444194
"18_1578",18,-0.279743015380609,0.424120473716603
"22_204",22,0.531637475021418,-2.36116435001887
"22_138",22,0.209591668561396,-0.964616459827412
"18_54",18,0.294238321123872,-1.48099414063151
"21_1087",21,0.0296771902422681,-3.36447505357608
"18_15",18,1.14541916958806,-2.17335864291837
"23_3",23,0.11998985038371,-1.92929581563462
"21_800",21,0.407129617644507,-1.93789826456623
"24_319",24,0.491975955387465,-1.48701074372677
"18_1019",18,0.587305948316055,-1.81656285308821
"18_882",18,0.454244594200165,1.34100756900925
"20_1693",20,0.507541550841623,-0.951254884054019
"22_105",22,0.186324433747933,-2.3102854412764
"19_1261",19,0.983992967194942,0.024146302147269
"19_1458",19,-0.020080664195403,0.738689806223866
"19_251",19,1.44810929022372,-3.29005214240071
"19_508",19,0.342430387329487,-2.11315673689221
"19_430",19,0.491384466906411,-0.134837473946605
"20_276",20,0.231428786591781,-1.69526302694475
"23_235",23,0.235657754873169,6.19125556167483
"19_1401",19,-0.0841669775164603,2.46582331988736
"20_1019",20,0.434551362008287,-1.82482675405809
"18_1165",18,0.349055443474435,-1.57793104383109
