group_names,group_id
gun owners of america,285
afiya ctr,286
american library assn,287
wisconsin coalition against sexual assault,288
liberty counsel,289
free speech defense and education fund,290
haverford college,291
catholic charities usa,292
goldwater inst,293
transgender legal defense and education fund,294
interfaith alliance,295
california state sheriffs’ assn,296
rocky mountain immigrant advocacy network,297
american assn of people with disabilities,298
leukemia and lymphoma soc,299
judge david l. bazelon ctr for mental health law,300
bank policy inst,301
natl assn for gun rights,302
immigrant law ctr of minnesota,303
natl police accountability project,304
tea party patriots action,305
american medical women’s assn,306
natl legal fdn,307
natl parks conservation assn,308
catholic medical assn,309
natl council of young israel,310
natl abortion fed,311
natl lgbtq task force,312
natl apostolic christian leadership conference,313
american target advertising,314
battered women’s justice project,315
karamah: muslim women lawyers for human rights,316
natl taxpayers union fdn,317
child usa,318
connecticut citizens defense league,319
natl council of jewish women,320
league of california cities,321
disability rights advocates,322
natl retail fed,323
students for life of america,324
americans for prosperity fdn,325
american academy of family physicians,326
james dobson family inst,327
loyola university of chicago,328
ustelecom-the broadband assn,329
muslim advocates,330
heartbeat intl,331
council on american-islamic relations,332
wikimedia fdn,333
desiree alliance,334
first amendment lawyers assn,335
legal aid soc,336
physicians for reproductive health,337
ctr for urban renewal and education,338
first focus on children,339
natl consumers league,340
twitter,341
electronic privacy information ctr,342
employee rights advocacy inst for law and policy,343
arc of the united states,344
immigrant legal resource ctr,345
neighborhood defender service of harlem,346
assn of american colleges and universities,347
natl women’s law ctr,348
american islamic congress,349
madison soc fdn,350
natl trans bar assn,351
natl disability rights network,352
global liberty alliance,353
idaho freedom fdn,354
pelican inst for public policy,355
mental health america,356
ethics and religious liberty commission of the southern baptist convention,357
9to5 natl assn of working women,358
cummins,359
retail litigation ctr,360
mackinac ctr for public policy,361
soc of general internal medicine,362
bend the arc: a jewish partnership for justice,363
care net,364
natl fdn for gun rights,365
physicians for human rights,366
amnesty intl,367
american assn of university women,368
vimeo,369
american college of pediatricians,370
high tech inventors alliance,371
texas impact,372
assn for community affiliated plans,373
t’ruah: the rabbinic call for human rights,374
global justice ctr,375
floor64 d/b/a the copia inst,376
impact fund,377
delaware family policy council,378
atlanta women for equality,379
natl hispanic medical assn,380
california gun rights fdn,381
natl assn of realtors®,382
muslim public affairs council,383
atlantic legal fdn,384
project on fair representation,385
charlotte lozier inst,386
cause of action inst,387
owners’ counsel of america,388
citizens united fdn,389
natl org of veterans’ advocates,390
pen american ctr,391
new ways ministry,392
montana coalition against domestic and sexual violence,393
connecticut college,394
inst for justice,395
assn of the bar of the city of new york,396
r street inst,397
farmworker justice,398
lawyers for civil rights,399
manhattan inst,400
orthodox church in america,401
california state assn of counties,402
intel corporation,403
american benefits council,404
american bankers assn,405
barnard college,406
federal circuit bar assn,407
news media alliance,408
rabbinical assembly,409
autistic women and nonbinary network,410
natl ctr for law and economic justice,411
biogen,412
american civil rights project,413
pflag,414
freedom from religion fdn,415
legal aid at work,416
california constitutional rights fdn,417
blue cross blue shield assn,418
tntp,419
new york civil liberties union,420
ctr for inquiry,421
natl assn of wholesaler-distributors,422
american conservative union fdn,423
native women’s soc of the great plains,424
soc of family planning,425
power to decide,426
bucknell university,427
project for privacy and surveillance accountability,428
feminist women’s health ctr,429
ctr for reproductive rights,430
general conference of seventh-day adventists,431
kansas coalition against sexual and domestic violence,432
services immigrant rights and education network,433
ctr for responsible lending,434
clearinghouse on women’s issues,435
reason fdn,436
american psychological assn,437
natl assn of federal defenders,438
ctr for american progress,439
colby college,440
san francisco apartment assn,441
freedom of the press fdn,442
first liberty inst,443
natl congress of american indians,444
washington legal fdn,445
natl mining assn,446
feminist majority fdn,447
sanctuary for families,448
alaska family council,449
associated general contractors of america,450
pfizer,451
american assn of university professors,452
americans united for separation of church and state,453
glbtq legal advocates and defenders,454
human rights watch,455
brennan ctr for justice at nyu school of law,456
operation outcry women injured by abortion,457
natl treasury employees union,458
california apartment assn,459
amac action,460
linkedin corporation,461
natl assn of parents d/b/a parentsusa,462
natl workrights inst,463
natl assn for the advancement of colored people,464
trillium asset management,465
amazon.com,466
council for opportunity in education,467
inst for faith and family,468
southern poverty law ctr,469
world vision,470
council of graduate schools,471
fitzgerald griffin fdn,472
self-help credit union,473
florence immigrant and refugee rights project,474
community legal services in east palo alto,475
state and local legal ctr,476
black alliance for just immigration,477
intl municipal lawyers assn,478
american sexual health assn,479
knight first amendment inst at columbia university,480
hr policy assn,481
california peace officers’ assn,482
bryn mawr college,483
citizens equal rights fdn,484
assn of governing boards of universities and colleges,485
naral pro-choice america,486
american fed of teachers,487
naacp,488
nebraska family alliance,489
intl city/county management assn,490
upper midwest law ctr,491
institutional religious freedom alliance,492
virgin islands bar assn,493
assn of american physicians and surgeons,494
aasa the school superintendents assn,495
middlebury college,496
louisiana family forum,497
natl republican redistricting trust,498
waking women healing inst,499
immigrant defense project,500
natl black justice coalition,501
educause,502
priests for life,503
information technology and innovation fdn,504
world faith fdn,505
intl assn of defense counsel,506
firearms policy coalition,507
project 21 black leadership network,508
catholics count,509
inner life fund,510
keshet,511
leadership conference education fund,512
setting things right,513
americans united for life,514
new mexico mining assn,515
pacific legal fdn,516
individual rights fdn,517
gun owners fdn,518
electronic frontier fdn,519
american academy of pediatrics,520
alliance for automotive innovation,521
pharmaceutical research and manufacturers of america,522
grass roots north carolina,523
shriver ctr on poverty law,524
one nation under god fdn,525
robertson ctr for constitutional law,526
american assn of senior citizens,527
march for life education and defense fund,528
allied educational fdn,529
naacp legal defense and educational fund,530
bowdoin college,531
siecus: sex ed for social change,532
unidosus,533
l.a. care health plan,534
central american resource ctr of northern ca-carecen sf,535
natl fed of independent business small business legal ctr,536
developers alliance,537
american constitutional rights union,538
christian medical and dental assn,539
intl brotherhood of teamsters,540
