case_names,case_id,year
22_592,384,22
21_187,385,21
19_453,386,19
20_1507,387,20
19_5807,388,19
18_1584,389,18
24_154,390,24
21_869,391,21
22_1074,392,22
19_930,393,19
21_264,394,21
18_86,395,18
22_95,396,22
20_1599,397,20
18_9526,398,18
19_1257,399,19
20_828,400,20
24_449,401,24
20_843,402,20
21_1550,403,21
23_785,404,23
21_954,405,21
21_147,406,21
18_1455,407,18
24_361,408,24
20_915,409,20
24_90,410,24
18_349,411,18
18_547,412,18
24_110,413,24
21_972,414,21
24_291,415,24
19_631,416,19
22_52,417,22
20_1212,418,20
22_166,419,22
21_1017,420,21
20_637,421,20
18_1293,422,18
18_1173,423,18
20_1066,424,20
20_427,425,20
19_767,426,19
23_621,427,23
18_1287,428,18
22_611,429,22
17_1618,430,17
22_899,431,22
21_1449,432,21
18_837,433,18
23_1007,434,23
19_123,435,19
23_1189,436,23
20_1501,437,20
19_831,438,19
20_1499,439,20
22_720,440,22
22_1160,441,22
18_1475,442,18
21_1168,443,21
24_530,444,24
22_665,445,22
23_1127,446,23
19_825,447,19
20_1114,448,20
19_221,449,19
19_267,450,19
23_1155,451,23
19_438,452,19
24_5381,453,24
21_1263,454,21
18_1062,455,18
20_334,456,20
19_402,457,19
20_804,458,20
22_23,459,22
18_107,460,18
20_1214,461,20
21_248,462,21
19_7,463,19
21_86,464,21
21_588,465,21
20_222,466,20
19_333,467,19
20_1530,468,20
18_1501,469,18
18_1496,470,18
18_1516,471,18
21_418,472,21
18_324,473,18
21_1463,474,21
21_432,475,21
23_726,476,23
19_348,477,19
19_899,478,19
22_815,479,22
19_988,480,19
21_5592,481,21
18_1323,482,18
23_941,483,23
20_603,484,20
21_1271,485,21
19_963,486,19
23_5572,487,23
19_675,488,19
20_1158,489,20
21_1019,490,21
19_66,491,19
18_843,492,18
20_426,493,20
24_57,494,24
21_468,495,21
19_1452,496,19
22_1222,497,22
22_277,498,22
21_783,499,21
22_555,500,22
19_1184,501,19
20_1598,502,20
24_427,503,24
22_388,504,22
20_103,505,20
19_1269,506,19
19_404,507,19
19_5410,508,19
24_394,509,24
23_1122,510,23
23_236,511,23
24_437,512,24
18_260,513,18
21_1194,514,21
19_760,515,19
